 Region	ISO639-3 Language Code	 Language (English Translation)	 Site Name	 News	 Radio	 Video	 TV	 Direct		 txt files (json files)
English	eng	English	English	https://www.voanews.com/	https://www.voanews.com/radio		https://www.voanews.com/tv			http://web.archive.org/cdx/search/cdx?url=voanews.com*&output=txt
English	eng	English	Learning English	https://learningenglish.voanews.com/	https://learningenglish.voanews.com/radio	https://learningenglish.voanews.com/p/5631.html				http://web.archive.org/cdx/search/cdx?url=learningenglish.voanews.com*&output=txt
English	eng	English	VOA Editorials	https://editorials.voa.gov/	https://editorials.voa.gov/z/3308	https://editorials.voa.gov/z/3246				http://web.archive.org/cdx/search/cdx?url=editorials.voa.gov*&output=txt
Eastern and Central Europe	sqi	Albanian	Shqip	https://www.zeriamerikes.com/			https://www.zeriamerikes.com/tv			http://web.archive.org/cdx/search/cdx?url=zeriamerikes.com*&output=txt
Eastern and Central Europe	bos	Bosnian	Bosanski	https://ba.voanews.com/		https://ba.voanews.com/z/1975	https://ba.voanews.com/tv			http://web.archive.org/cdx/search/cdx?url=ba.voanews.com*&output=txt
Eastern and Central Europe	ell	Greek	Ελληνικά	https://gr.voanews.com/		https://gr.voanews.com/z/1667				http://web.archive.org/cdx/search/cdx?url=gr.voanews.com*&output=txt
Eastern and Central Europe	mkd	Macedonian	Македонски	https://mk.voanews.com/		https://mk.voanews.com/z/1735	https://mk.voanews.com/tv			http://web.archive.org/cdx/search/cdx?url=mk.voanews.com*&output=txt
Eastern and Central Europe	srp	Serbian	Srpski	https://www.glasamerike.net/			https://www.glasamerike.net/tv			http://web.archive.org/cdx/search/cdx?url=glasamerike.net*&output=txt
Eastern and Central Europe	ukr	Ukrainian	Українська	https://ukrainian.voanews.com/		https://ukrainian.voanews.com/z/1686	https://ukrainian.voanews.com/tv			http://web.archive.org/cdx/search/cdx?url=ukrainian.voanews.com*&output=txt
Eurasia	hye	Armenian	Հայերեն	https://www.amerikayidzayn.com/		https://www.amerikayidzayn.com/p/5920.html				http://web.archive.org/cdx/search/cdx?url=amerikayidzayn.com*&output=txt
Eurasia	aze	Azerbaijani	Azerbaijani	https://www.amerikaninsesi.org/		https://www.amerikaninsesi.org/z/2047				http://web.archive.org/cdx/search/cdx?url=amerikaninsesi.org*&output=txt
Eurasia	kat	Georgian	ქართული	https://www.amerikiskhma.com/		https://www.amerikiskhma.com/z/2389, https://www.amerikiskhma.com/z/5905, https://www.amerikiskhma.com/z/5930				http://web.archive.org/cdx/search/cdx?url=amerikiskhma.com*&output=txt
Eurasia	rus	Russian	Русский	https://www.golosameriki.com/		https://www.golosameriki.com/video	https://www.golosameriki.com/tv			http://web.archive.org/cdx/search/cdx?url=golosameriki.com*&output=txt
Central Asia	uzb	Uzbek	O‘zbek‎	https://www.amerikaovozi.com/	https://www.amerikaovozi.com/radio, https://www.amerikaovozi.com/z/2386 	https://www.amerikaovozi.com/z/2095				http://web.archive.org/cdx/search/cdx?url=amerikaovozi.com*&output=txt
South Asia	ben	Bangla (Bengali)	বাংলা	https://www.voabangla.com/	https://www.voabangla.com/radio	https://www.voabangla.com/z/2946				http://web.archive.org/cdx/search/cdx?url=voabangla.com*&output=txt
